id,sentence,options,word_id
56,Customer: I do my grocery shopping every week.,do|does|doing|done|did,
57,Cashier: She does prefer using reusable bags for her purchases.,do|does|doing|done|did,
58,Customer: I'm doing a quick check to make sure I got everything.,do|does|doing|done|did,
59,Cashier: He does appreciate customers who are thorough.,do|does|doing|done|did,
60,Customer: I've done most of my shopping in the fresh produce section.,do|does|doing|done|did,
61,Cashier: She does enjoy a healthy selection of fruits and vegetables.,do|does|doing|done|did,
62,Customer: I'm doing my best to remember my loyalty card this time.,do|does|doing|done|did,
63,Cashier: He does encourage customers to take advantage of discounts.,do|does|doing|done|did,
64,Customer: I did find a great deal on the discount shelf.,do|does|doing|done|did,
65,Cashier: She does make smart choices to save on groceries.,do|does|doing|done|did,
66,"James %, ""I heard there's a great new restaurant opening downtown.""",say|says,10
67,What do you % we check it out?,say|says,9
68,"Sarah, did you % the meeting is at 3 PM, or does it start earlier?",say|says,9
69,"As they drive, Mark %, ""I can't believe how much traffic there is today. What do you think, Emma?""",say|says,10
70,"Emma %, ""I agree, Mark. It's unusually crowded for this time. Let's take a different route.""",say|says,10
71,"During the journey, Lisa %, ""I read an interesting article about travel destinations.""",say|says,10
72,What do you % we plan a trip?,say|says,9
73,"Tom, did you % the concert tickets are still available, or does it sell out quickly?",say|says,9
74,"The GPS %, ""In 500 meters, make a right turn to reach your destination.""",say|says,10
75,"Tom %, ""According to the directions, we should take the next right.""",say|says,10
76,"What do you %, Lisa?",say|says,9
77,John says he's excited about the upcoming project.,say|says|saying,
78,Mary says she agrees and suggests a creative approach.,say|says|saying,
79,John says he's been thinking about incorporating innovative technologies.,say|says|saying,
80,Mary is saying she believes it could significantly improve efficiency.,say|says|saying,
81,John is saying he appreciates her perspective and wants to explore it further.,say|says|saying,
82,Mary says she's looking forward to collaborating on this.,say|says|saying,
83,John says he'll set up a meeting to discuss the details.,say|says|saying,
84,Mary is saying she'll prepare a presentation for the team.,say|says|saying,
85,"The cashier says, ""Your total is $35.50.""",say|says|saying|said,
86,"The customer said, ""I think there's a mistake. The tag on the shelf says it's on sale.""",say|says|saying|said,
87,"Politely, the cashier says, ""Let me check that for you.""",say|says|saying|said,
88,"After checking, the cashier said, ""You're right; it's indeed on sale. Your new total is $28.00.""",say|says|saying|said,
89,"Gratefully, the customer says, ""Thank you for clarifying that.""",say|says|saying|said,
90,"Meanwhile, another customer is saying, ""Excuse me, where can I find the organic fruits?""",say|says|saying|said,
91,"The cashier says, ""Aisle 3, right next to the fresh produce section.""",say|says|saying|said,
92,"A nearby employee, saying, ""Let me guide you there; I'll show you the way.""",say|says|saying|said,
93,"In the future, he says, ""I will have a high-tech gadget that can do amazing things.""",have|has|having|had|say|says|saying|said,
94,"His friend, saying, ""That sounds incredible! What features does it have?""",have|has|having|had|say|says|saying|said,
95,"He replies, ""It has voice recognition, artificial intelligence, and even a teleportation option.""",have|has|having|had|say|says|saying|said,
96,"Intrigued, the friend says, ""I've never heard of such a device. Where did you get it?""",have|has|having|had|say|says|saying|said,
97,"He said, ""I had it custom-made by a futuristic tech company.""",have|has|having|had|say|says|saying|said,
98,"The friend says, ""I have to get one for myself!""",have|has|having|had|say|says|saying|said,
99,"Later, they are saying, ""Let's test its teleportation feature and go to a future concert together.""",have|has|having|had|say|says|saying|said,
100,"Excitedly, he says, ""I've always wanted to experience a concert in the future.""",have|has|having|had|say|says|saying|said,
101,"They have an unforgettable time at the concert, enjoying music from artists they've never heard before.",have|has|having|had|say|says|saying|said,
102,"Reflecting on the experience, the friend says, ""This has been the best futuristic adventure ever!""",have|has|having|had|say|says|saying|said,
103,"As the train arrives, he says, ""I did not expect it to be on time.""",do|does|done|did|say|says|saying|said,
104,"She responds, ""Trains here usually do arrive promptly.""",do|does|done|did|say|says|saying|said,
105,"Checking the schedule, he says, ""It says the next one is at 3 PM.""",do|does|done|did|say|says|saying|said,
106,"She nods, saying, ""That gives us some time to grab a snack.""",do|does|done|did|say|says|saying|said,
107,They decide to do some shopping at the station's convenience store.,do|does|done|did|say|says|saying|said,
108,"Entering the store, she says, ""I've never done shopping here before.""",do|does|done|did|say|says|saying|said,
109,"He replies, ""It does have a surprisingly good selection.""",do|does|done|did|say|says|saying|said,
110,"After shopping, they find comfortable seats and discuss what they've done during the day.",do|does|done|did|say|says|saying|said,
111,"The station announcement says, ""Train to Central City departing from platform 2.""",do|does|done|did|say|says|saying|said,
112,"They gather their bags and head towards the platform, excited for the journey ahead.",do|does|done|did|say|says|saying|said,
117,"Every morning, John % to work on his bicycle, enjoying the fresh air and exercise.",go|goes,14
118,"Sarah, what do you think about taking a shortcut? Does it % through the park?",go|goes,13
119,"The traffic on the highway % smoothly, allowing for a quick commute today.",go|goes,14
120,"Tom says, ""I usually % to the gym after work.""",go|goes,13
121,What do you say we % together sometime?,go|goes,13
122,"While driving, Lisa % through her to-do list for the day, making sure nothing is forgotten.",go|goes,14
123,"Mike, did you say the new coffee shop % along our route to the office, or is it in the opposite direction?",go|goes,14
124,"The GPS % silent as they approach a construction zone, suggesting an alternate route.",go|goes,14
125,"Emma says, ""I % to the office early to avoid the rush hour traffic. What about you, Mark?""",go|goes,13
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,"Every weekend, Sarah % groceries for the upcoming week, making a list to ensure she doesn't forget anything.",get|gets,18
135,"Mike, did you % the fresh produce from the aisle, or does it go in the cart later?",get|gets,17
136,"As they walk through the aisles, Lisa says, ""I usually % my favorite snacks in this section. What about you, Tom?""",get|gets,17
137,Tom % a shopping basket,get|gets,18
138,"""I think we should % some snacks for the movie night tonight.""",get|gets,17
139,Lisa % a call from her friend,get|gets,18
140,"""Can you % some milk on your way home?""",get|gets,17
141,"Mark, did you say the cashier % off at 6 PM, or does the store close earlier?",get|gets,18
142,"The announcement over the speaker % everyone's attention, saying, ""Attention shoppers, there's a special discount on selected items. Don't miss it!""",get|gets,18
143,"Emma says, ""Let's % in the checkout line.""",get|gets,17
144,"""I heard it % long during this time.""",get|gets,18
145,Captain Jack % a mysterious map in an old bottle washed ashore.,see|sees,22
146,"""Matey, what do you say we follow this map and % where it leads?""",see|sees,21
147,"Emma, the first mate, % a distant island on the map.",see|sees,22
148,"""Captain, it seems the treasure % hidden on that island. Shall we set sail?""",see|sees,22
149,"As they sail towards the island, Jack % a storm approaching.",see|sees,22
150,"""Emma, prepare the crew! We need to navigate through this before it % too intense.""",see|sees,22
151,"Emma % a glimmer of hope, spotting a calm passage.",see|sees,22
152,"""Captain, I % a safe route. Let's navigate through there to avoid the worst of the storm.""",see|sees,22
153,"On the island, Jack and Emma % clues pointing to the treasure's location.",see|sees,21
154,"""These markings % like a guide. Emma, what do you say we follow them?""",see|sees,21
155,Emma % a cave entrance hidden behind vines.,see|sees,22
156,"""Captain, the entrance to the treasure cave % right here. Shall we explore it?""",see|sees,22
157,"Jack sees the glow of the treasure chest in the dark cave. ""Emma, there it is! The treasure % within our grasp. Prepare to load it onto the ship!""",see|sees,22
158,"As they leave the island, Emma % a ship on the horizon.",see|sees,22
159,"""Captain, it seems another crew % approaching. What should we do?""",see|sees,22
160,"Every morning, Sarah % with her team to discuss the day's agenda and upcoming tasks.",speak|speaks,26
161,"Mike, did you % to the IT department about the software issue, or does it require further investigation?",speak|speaks,25
162,"As they gather for a meeting, Lisa says, ""I usually % first to provide updates on our progress. What about you, Tom?""",speak|speaks,25
163,"Tom % up during the meeting, suggesting a new approach to streamline the workflow.",speak|speaks,26
164,"In the breakroom, Lisa % with her colleagues about the upcoming company event. ""I heard it's going to be exciting. What do you all think?""",speak|speaks,26
165,"Mark, did you % with the manager about the project deadline extension, or does it need more preparation?",speak|speaks,25
166,"The boss % during the team meeting, addressing the recent achievements and future goals.",speak|speaks,26
167,"Emma % privately with a coworker, sharing ideas for the upcoming presentation. ""I think it'll be well-received. What do you say?""",speak|speaks,26
168,"Lisa decides to % a new TV for her living room and asks the salesperson, ""Can you show me the latest models you have?""",buy|buys,29
169,The salesperson recommends a high-quality brand that many customers % for its excellent features.,buy|buys,29
170,"As Lisa explores the options, she says, ""I usually % electronics during sales events. Do you have any upcoming promotions?""",buy|buys,29
171,"After comparing the specifications, Lisa % the 55-inch smart TV that perfectly fits her requirements.",buy|buys,30
172,"In the checkout line, Mark speaks with a friend on the phone. ""I'm at the store, and I'm about to % a new TV. What do you think?""",buy|buys,29
173,"The cashier, who often % gadgets from the store, notices Lisa's choice and says, ""Great pick! I have the same TV at home, and it works wonderfully.""",buy|buys,30
174,Lisa % an extended warranty to ensure her investment is protected for the long run.,buy|buys,30
175,"Emma, who frequently % home appliances, sees Lisa at the store and asks",buy|buys,30
176,"""Are you going to % a sound system to go with that TV?""",buy|buys,29
